Source,Target,Relation
32392,32542,friends
32392,32548,friends
32394,32473,friends
32394,32531,friends
32394,32538,friends
32395,32398,friends
32397,32455,friends
32397,32548,friends
32398,32395,friends
32400,32522,friends
32402,32423,friends
32403,32496,friends
32403,32515,friends
32404,32427,friends
32404,32439,friends
32404,32481,friends
32404,32539,friends
32404,32552,friends
32407,32430,friends
32407,32447,friends
32407,32454,friends
32407,32509,friends
32407,32527,friends
32409,32470,friends
32409,32479,friends
32409,32550,friends
32410,32464,friends
32410,32486,friends
32410,32497,friends
32411,32395,friends
32411,32398,friends
32411,32436,friends
32411,32453,friends
32411,32499,friends
32411,32537,friends
32412,32398,friends
32412,32519,friends
32416,32449,friends
32416,32497,friends
32417,32410,friends
32417,32497,friends
32418,32449,friends
32418,32497,friends
32420,32429,friends
32420,32542,friends
32420,32548,friends
32421,32414,friends
32421,32445,friends
32421,32494,friends
32421,32498,friends
32422,32404,friends
32424,32407,friends
32424,32430,friends
32424,32447,friends
32424,32454,friends
32424,32527,friends
32426,32449,friends
32426,32497,friends
32427,32539,friends
32427,32552,friends
32428,32493,friends
32428,32515,friends
32428,32553,friends
32428,32560,friends
32429,32542,friends
32429,32548,friends
32430,32447,friends
32430,32454,friends
32430,32509,friends
32430,32527,friends
32431,32454,friends
32432,32424,friends
32432,32430,friends
32432,32431,friends
32432,32447,friends
32432,32451,friends
32432,32454,friends
32432,32502,friends
32432,32509,friends
32432,32510,friends
32432,32527,friends
32433,32497,friends
32434,32394,friends
32434,32531,friends
32434,32538,friends
32435,32423,friends
32436,32398,friends
32437,32403,friends
32437,32515,friends
32437,32560,friends
32438,32470,friends
32438,32479,friends
32439,32404,friends
32440,32400,friends
32440,32506,friends
32440,32511,friends
32443,32400,friends
32443,32530,friends
32444,32403,friends
32444,32493,friends
32444,32496,friends
32444,32515,friends
32444,32560,friends
32446,32400,friends
32446,32506,friends
32446,32511,friends
32448,32400,friends
32448,32506,friends
32448,32511,friends
32448,32530,friends
32449,32410,friends
32450,32403,friends
32450,32444,friends
32450,32515,friends
32450,32560,friends
32451,32407,friends
32451,32432,friends
32451,32447,friends
32451,32454,friends
32453,32395,friends
32453,32398,friends
32453,32436,friends
32453,32495,friends
32453,32499,friends
32453,32519,friends
32453,32537,friends
32457,32392,friends
32457,32542,friends
32457,32548,friends
32458,32449,friends
32458,32497,friends
32460,32454,friends
32460,32527,friends
32462,32430,friends
32462,32447,friends
32462,32454,friends
32462,32509,friends
32462,32527,friends
32464,32410,friends
32464,32486,friends
32464,32497,friends
32465,32497,friends
32467,32399,friends
32467,32489,friends
32467,32504,friends
32467,32511,friends
32470,32479,friends
32470,32546,friends
32470,32550,friends
32471,32467,friends
32471,32480,friends
32472,32398,friends
32473,32538,friends
32474,32512,friends
32475,32400,friends
32475,32511,friends
32475,32530,friends
32476,32400,friends
32476,32506,friends
32476,32511,friends
32477,32449,friends
32477,32497,friends
32478,32395,friends
32478,32398,friends
32478,32453,friends
32479,32425,friends
32479,32438,friends
32479,32469,friends
32479,32470,friends
32479,32517,friends
32479,32546,friends
32479,32550,friends
32480,32504,friends
32480,32512,friends
32481,32539,friends
32483,32480,friends
32484,32404,friends
32484,32539,friends
32485,32404,friends
32485,32539,friends
32486,32449,friends
32486,32497,friends
32488,32550,friends
32489,32467,friends
32490,32395,friends
32490,32398,friends
32490,32453,friends
32490,32537,friends
32491,32467,friends
32491,32480,friends
32491,32504,friends
32493,32403,friends
32493,32428,friends
32493,32515,friends
32493,32520,friends
32493,32553,friends
32493,32560,friends
32494,32419,friends
32494,32423,friends
32494,32445,friends
32494,32498,friends
32495,32395,friends
32495,32398,friends
32495,32453,friends
32496,32503,friends
32496,32561,friends
32499,32395,friends
32499,32398,friends
32499,32533,friends
32502,32430,friends
32502,32447,friends
32502,32454,friends
32502,32527,friends
32503,32515,friends
32504,32467,friends
32504,32512,friends
32505,32531,friends
32506,32400,friends
32506,32522,friends
32508,32447,friends
32508,32454,friends
32508,32509,friends
32508,32527,friends
32509,32454,friends
32510,32407,friends
32510,32430,friends
32510,32431,friends
32510,32447,friends
32510,32454,friends
32510,32509,friends
32510,32527,friends
32511,32522,friends
32512,32408,friends
32512,32467,friends
32512,32474,friends
32512,32480,friends
32512,32489,friends
32512,32504,friends
32512,32516,friends
32513,32395,friends
32513,32398,friends
32513,32453,friends
32514,32548,friends
32515,32553,friends
32516,32467,friends
32516,32471,friends
32516,32474,friends
32516,32480,friends
32516,32504,friends
32516,32511,friends
32516,32512,friends
32518,32449,friends
32518,32497,friends
32519,32398,friends
32519,32533,friends
32521,32410,friends
32521,32464,friends
32521,32486,friends
32521,32497,friends
32523,32511,friends
32524,32394,friends
32524,32505,friends
32524,32531,friends
32524,32535,friends
32527,32432,friends
32527,32447,friends
32527,32454,friends
32527,32509,friends
32528,32404,friends
32528,32427,friends
32528,32481,friends
32528,32507,friends
32528,32539,friends
32529,32429,friends
32529,32542,friends
32529,32548,friends
32530,32400,friends
32530,32440,friends
32530,32443,friends
32530,32448,friends
32530,32459,friends
32530,32475,friends
32530,32476,friends
32530,32506,friends
32530,32511,friends
32530,32522,friends
32530,32523,friends
32530,32534,friends
32530,32557,friends
32530,32564,friends
32531,32538,friends
32532,32470,friends
32532,32479,friends
32533,32395,friends
32533,32453,friends
32534,32400,friends
32534,32448,friends
32534,32459,friends
32534,32475,friends
32534,32476,friends
32534,32506,friends
32534,32511,friends
32534,32530,friends
32536,32421,friends
32537,32395,friends
32537,32398,friends
32538,32535,friends
32539,32422,friends
32539,32552,friends
32540,32429,friends
32540,32542,friends
32540,32548,friends
32541,32395,friends
32541,32398,friends
32541,32400,friends
32541,32411,friends
32541,32412,friends
32541,32428,friends
32541,32436,friends
32541,32453,friends
32541,32454,friends
32541,32473,friends
32541,32478,friends
32541,32490,friends
32541,32495,friends
32541,32499,friends
32541,32511,friends
32541,32515,friends
32541,32519,friends
32541,32533,friends
32541,32537,friends
32541,32539,friends
32542,32429,friends
32542,32548,friends
32545,32455,friends
32545,32548,friends
32546,32470,friends
32546,32479,friends
32546,32550,friends
32547,32404,friends
32549,32449,friends
32549,32477,friends
32549,32486,friends
32549,32497,friends
32551,32473,friends
32551,32538,friends
32553,32403,friends
32553,32428,friends
32553,32493,friends
32553,32496,friends
32553,32515,friends
32553,32520,friends
32553,32560,friends
32554,32538,friends
32557,32400,friends
32557,32506,friends
32557,32511,friends
32557,32530,friends
32558,32423,friends
32558,32445,friends
32559,32538,friends
32562,32394,friends
32562,32434,friends
32562,32473,friends
32562,32531,friends
32562,32535,friends
32562,32538,friends
32563,32422,friends
32565,32423,friends
32392,32420,advice
32392,32514,advice
32395,32436,advice
32395,32472,advice
32397,32514,advice
32399,32408,advice
32399,32471,advice
32400,32523,advice
32400,32534,advice
32401,32496,advice
32401,32553,advice
32402,32419,advice
32402,32423,advice
32402,32442,advice
32402,32445,advice
32402,32468,advice
32402,32498,advice
32402,32536,advice
32402,32556,advice
32402,32558,advice
32402,32565,advice
32404,32439,advice
32407,32431,advice
32407,32456,advice
32407,32460,advice
32407,32508,advice
32408,32467,advice
32408,32489,advice
32408,32491,advice
32410,32426,advice
32411,32472,advice
32418,32426,advice
32418,32449,advice
32419,32468,advice
32421,32400,advice
32421,32414,advice
32421,32419,advice
32421,32423,advice
32421,32439,advice
32421,32441,advice
32421,32445,advice
32421,32446,advice
32421,32468,advice
32421,32494,advice
32421,32498,advice
32421,32503,advice
32421,32527,advice
32421,32536,advice
32421,32539,advice
32421,32554,advice
32421,32563,advice
32422,32404,advice
32422,32427,advice
32422,32439,advice
32422,32481,advice
32422,32507,advice
32422,32539,advice
32422,32552,advice
32422,32554,advice
32422,32563,advice
32423,32421,advice
32423,32468,advice
32427,32422,advice
32432,32431,advice
32432,32447,advice
32432,32451,advice
32432,32456,advice
32432,32508,advice
32432,32509,advice
32432,32527,advice
32433,32426,advice
32433,32449,advice
32435,32402,advice
32435,32419,advice
32435,32442,advice
32435,32468,advice
32435,32536,advice
32435,32558,advice
32435,32565,advice
32436,32412,advice
32436,32472,advice
32436,32495,advice
32438,32526,advice
32438,32532,advice
32439,32422,advice
32439,32539,advice
32439,32552,advice
32440,32446,advice
32440,32523,advice
32440,32534,advice
32441,32402,advice
32441,32419,advice
32441,32442,advice
32441,32445,advice
32441,32558,advice
32441,32565,advice
32442,32402,advice
32442,32419,advice
32442,32435,advice
32442,32468,advice
32442,32556,advice
32442,32558,advice
32442,32565,advice
32443,32476,advice
32443,32523,advice
32444,32428,advice
32444,32437,advice
32444,32493,advice
32444,32496,advice
32444,32503,advice
32444,32515,advice
32444,32561,advice
32445,32536,advice
32446,32440,advice
32446,32448,advice
32446,32459,advice
32446,32475,advice
32446,32476,advice
32446,32523,advice
32446,32534,advice
32448,32400,advice
32448,32446,advice
32448,32506,advice
32448,32511,advice
32448,32557,advice
32449,32417,advice
32449,32426,advice
32449,32458,advice
32449,32465,advice
32453,32436,advice
32455,32514,advice
32456,32460,advice
32459,32476,advice
32459,32506,advice
32459,32511,advice
32460,32430,advice
32460,32431,advice
32460,32456,advice
32462,32431,advice
32462,32456,advice
32464,32426,advice
32465,32449,advice
32467,32408,advice
32467,32471,advice
32467,32489,advice
32467,32491,advice
32467,32516,advice
32468,32536,advice
32470,32526,advice
32471,32408,advice
32471,32467,advice
32471,32489,advice
32471,32491,advice
32471,32516,advice
32472,32395,advice
32472,32436,advice
32472,32490,advice
32472,32495,advice
32472,32499,advice
32472,32537,advice
32472,32541,advice
32475,32400,advice
32475,32446,advice
32475,32506,advice
32475,32511,advice
32475,32557,advice
32476,32440,advice
32476,32459,advice
32476,32506,advice
32476,32511,advice
32476,32523,advice
32476,32534,advice
32477,32549,advice
32478,32398,advice
32478,32412,advice
32478,32472,advice
32479,32470,advice
32479,32526,advice
32479,32532,advice
32480,32408,advice
32480,32467,advice
32480,32471,advice
32480,32516,advice
32483,32408,advice
32483,32467,advice
32483,32471,advice
32483,32489,advice
32483,32491,advice
32483,32516,advice
32484,32404,advice
32484,32439,advice
32484,32481,advice
32484,32528,advice
32485,32404,advice
32485,32427,advice
32485,32439,advice
32485,32481,advice
32485,32484,advice
32485,32528,advice
32488,32526,advice
32489,32471,advice
32490,32395,advice
32490,32398,advice
32490,32412,advice
32490,32436,advice
32490,32472,advice
32490,32495,advice
32490,32519,advice
32490,32533,advice
32491,32471,advice
32491,32516,advice
32493,32553,advice
32494,32421,advice
32494,32468,advice
32494,32498,advice
32495,32395,advice
32495,32436,advice
32495,32472,advice
32495,32490,advice
32495,32537,advice
32498,32419,advice
32498,32442,advice
32498,32445,advice
32498,32468,advice
32499,32412,advice
32499,32472,advice
32502,32407,advice
32502,32430,advice
32502,32431,advice
32502,32447,advice
32502,32456,advice
32502,32509,advice
32503,32403,advice
32503,32428,advice
32503,32437,advice
32503,32444,advice
32503,32493,advice
32503,32515,advice
32503,32520,advice
32503,32553,advice
32503,32560,advice
32503,32561,advice
32504,32471,advice
32505,32394,advice
32505,32434,advice
32505,32473,advice
32505,32492,advice
32505,32524,advice
32505,32531,advice
32505,32538,advice
32505,32543,advice
32505,32551,advice
32505,32554,advice
32505,32555,advice
32505,32562,advice
32506,32440,advice
32506,32446,advice
32506,32511,advice
32506,32557,advice
32510,32456,advice
32511,32523,advice
32511,32534,advice
32512,32467,advice
32512,32471,advice
32512,32474,advice
32512,32504,advice
32512,32516,advice
32513,32412,advice
32513,32436,advice
32513,32472,advice
32514,32397,advice
32514,32420,advice
32514,32540,advice
32516,32399,advice
32516,32408,advice
32516,32467,advice
32516,32471,advice
32516,32489,advice
32516,32491,advice
32517,32470,advice
32518,32426,advice
32518,32521,advice
32518,32549,advice
32519,32395,advice
32519,32436,advice
32519,32495,advice
32519,32499,advice
32521,32418,advice
32521,32426,advice
32521,32458,advice
32521,32464,advice
32521,32549,advice
32522,32400,advice
32522,32440,advice
32522,32446,advice
32522,32506,advice
32522,32511,advice
32522,32530,advice
32522,32557,advice
32523,32400,advice
32523,32440,advice
32523,32446,advice
32523,32459,advice
32523,32476,advice
32523,32506,advice
32523,32511,advice
32523,32534,advice
32523,32557,advice
32524,32394,advice
32524,32554,advice
32528,32439,advice
32528,32481,advice
32528,32484,advice
32530,32446,advice
32530,32476,advice
32530,32511,advice
32530,32523,advice
32530,32534,advice
32532,32470,advice
32532,32526,advice
32534,32440,advice
32534,32446,advice
32534,32459,advice
32534,32476,advice
32534,32506,advice
32534,32511,advice
32534,32523,advice
32536,32421,advice
32537,32472,advice
32539,32422,advice
32539,32439,advice
32539,32507,advice
32539,32563,advice
32540,32514,advice
32541,32533,advice
32542,32514,advice
32544,32404,advice
32544,32481,advice
32544,32484,advice
32544,32528,advice
32544,32563,advice
32546,32470,advice
32546,32526,advice
32547,32481,advice
32547,32563,advice
32548,32514,advice
32549,32418,advice
32549,32426,advice
32549,32433,advice
32549,32477,advice
32550,32470,advice
32550,32517,advice
32550,32526,advice
32551,32535,advice
32552,32439,advice
32552,32481,advice
32553,32428,advice
32553,32493,advice
32554,32473,advice
32554,32482,advice
32554,32492,advice
32554,32505,advice
32554,32524,advice
32554,32531,advice
32554,32535,advice
32554,32543,advice
32554,32555,advice
32556,32419,advice
32556,32468,advice
32557,32400,advice
32557,32440,advice
32557,32443,advice
32557,32446,advice
32557,32448,advice
32557,32475,advice
32557,32476,advice
32557,32511,advice
32557,32522,advice
32557,32523,advice
32557,32534,advice
32557,32564,advice
32558,32402,advice
32558,32419,advice
32558,32442,advice
32558,32445,advice
32558,32468,advice
32558,32498,advice
32558,32536,advice
32558,32556,advice
32558,32565,advice
32559,32394,advice
32559,32434,advice
32560,32553,advice
32563,32422,advice
32563,32439,advice
32564,32446,advice
32564,32476,advice
32564,32523,advice
32564,32534,advice
32565,32402,advice
32565,32419,advice
32565,32423,advice
32565,32442,advice
32565,32445,advice
32565,32468,advice
32565,32498,advice
32565,32556,advice
32565,32558,advice
32421,32402,moretime
32421,32414,moretime
32421,32441,moretime
32421,32442,moretime
32421,32468,moretime
32421,32494,moretime
32421,32498,moretime
32421,32558,moretime
32421,32559,moretime
32421,32565,moretime
32422,32528,moretime
32422,32552,moretime
32422,32559,moretime
32422,32563,moretime
32393,32422,influential
32393,32484,influential
32393,32485,influential
32393,32528,influential
32393,32544,influential
32393,32547,influential
32393,32552,influential
32395,32411,influential
32395,32436,influential
32395,32472,influential
32395,32519,influential
32395,32537,influential
32398,32411,influential
32398,32436,influential
32399,32467,influential
32400,32443,influential
32400,32522,influential
32400,32530,influential
32400,32534,influential
32400,32557,influential
32401,32428,influential
32401,32437,influential
32401,32493,influential
32402,32435,influential
32402,32441,influential
32402,32544,influential
32403,32401,influential
32403,32493,influential
32404,32393,influential
32404,32439,influential
32404,32485,influential
32404,32544,influential
32404,32547,influential
32405,32409,influential
32405,32479,influential
32406,32405,influential
32406,32409,influential
32406,32479,influential
32409,32405,influential
32411,32395,influential
32411,32436,influential
32411,32472,influential
32411,32478,influential
32411,32490,influential
32411,32495,influential
32411,32513,influential
32411,32519,influential
32411,32537,influential
32412,32395,influential
32412,32411,influential
32412,32436,influential
32412,32472,influential
32412,32490,influential
32412,32513,influential
32412,32537,influential
32413,32397,influential
32413,32455,influential
32413,32545,influential
32414,32393,influential
32414,32402,influential
32414,32419,influential
32414,32421,influential
32414,32435,influential
32414,32441,influential
32414,32442,influential
32414,32445,influential
32414,32498,influential
32414,32544,influential
32414,32547,influential
32414,32558,influential
32414,32565,influential
32415,32406,influential
32415,32409,influential
32415,32438,influential
32415,32469,influential
32415,32517,influential
32416,32417,influential
32416,32418,influential
32416,32426,influential
32416,32458,influential
32416,32477,influential
32416,32518,influential
32419,32558,influential
32421,32435,influential
32422,32393,influential
32422,32439,influential
32422,32544,influential
32422,32547,influential
32423,32402,influential
32423,32419,influential
32423,32421,influential
32423,32435,influential
32423,32441,influential
32423,32442,influential
32423,32445,influential
32423,32556,influential
32423,32558,influential
32423,32565,influential
32425,32405,influential
32425,32406,influential
32425,32409,influential
32425,32415,influential
32425,32438,influential
32425,32469,influential
32425,32517,influential
32425,32526,influential
32425,32532,influential
32427,32393,influential
32427,32485,influential
32427,32544,influential
32427,32547,influential
32428,32401,influential
32428,32493,influential
32428,32503,influential
32429,32413,influential
32429,32455,influential
32429,32540,influential
32429,32545,influential
32435,32442,influential
32435,32556,influential
32436,32395,influential
32436,32411,influential
32436,32472,influential
32436,32519,influential
32436,32544,influential
32437,32428,influential
32437,32444,influential
32437,32493,influential
32437,32503,influential
32437,32520,influential
32438,32405,influential
32438,32406,influential
32438,32409,influential
32438,32415,influential
32438,32425,influential
32438,32517,influential
32439,32393,influential
32439,32484,influential
32439,32485,influential
32439,32528,influential
32439,32544,influential
32439,32547,influential
32440,32534,influential
32441,32414,influential
32441,32419,influential
32441,32421,influential
32441,32435,influential
32441,32442,influential
32441,32445,influential
32441,32455,influential
32441,32498,influential
32441,32544,influential
32441,32547,influential
32441,32558,influential
32441,32565,influential
32442,32421,influential
32443,32459,influential
32443,32475,influential
32443,32522,influential
32443,32523,influential
32445,32414,influential
32445,32435,influential
32445,32441,influential
32445,32442,influential
32445,32544,influential
32445,32558,influential
32446,32522,influential
32446,32530,influential
32447,32460,influential
32448,32522,influential
32449,32406,influential
32449,32418,influential
32449,32426,influential
32449,32458,influential
32449,32477,influential
32449,32518,influential
32449,32549,influential
32450,32401,influential
32450,32428,influential
32450,32493,influential
32452,32408,influential
32452,32474,influential
32452,32504,influential
32455,32392,influential
32455,32413,influential
32455,32514,influential
32455,32544,influential
32455,32545,influential
32455,32547,influential
32456,32408,influential
32456,32432,influential
32456,32462,influential
32456,32508,influential
32456,32513,influential
32457,32413,influential
32457,32540,influential
32457,32545,influential
32459,32443,influential
32459,32448,influential
32459,32475,influential
32459,32476,influential
32459,32522,influential
32459,32523,influential
32459,32534,influential
32459,32564,influential
32460,32431,influential
32460,32432,influential
32460,32447,influential
32460,32454,influential
32460,32456,influential
32460,32462,influential
32460,32508,influential
32460,32527,influential
32465,32458,influential
32465,32477,influential
32465,32518,influential
32467,32399,influential
32467,32491,influential
32467,32512,influential
32468,32419,influential
32468,32435,influential
32468,32442,influential
32468,32558,influential
32468,32565,influential
32470,32405,influential
32470,32406,influential
32470,32409,influential
32470,32415,influential
32470,32425,influential
32470,32438,influential
32470,32469,influential
32470,32479,influential
32470,32517,influential
32470,32532,influential
32471,32399,influential
32471,32408,influential
32471,32452,influential
32471,32474,influential
32471,32489,influential
32471,32491,influential
32471,32504,influential
32471,32512,influential
32474,32467,influential
32475,32522,influential
32476,32443,influential
32476,32522,influential
32477,32458,influential
32478,32436,influential
32478,32472,influential
32479,32405,influential
32479,32406,influential
32480,32408,influential
32480,32452,influential
32480,32467,influential
32480,32471,influential
32480,32474,influential
32480,32489,influential
32480,32491,influential
32480,32504,influential
32480,32512,influential
32481,32393,influential
32481,32422,influential
32481,32484,influential
32481,32485,influential
32481,32528,influential
32481,32544,influential
32481,32547,influential
32482,32405,influential
32482,32473,influential
32482,32551,influential
32482,32554,influential
32484,32393,influential
32484,32485,influential
32484,32544,influential
32484,32547,influential
32485,32393,influential
32485,32422,influential
32485,32544,influential
32485,32547,influential
32488,32405,influential
32488,32406,influential
32488,32415,influential
32488,32469,influential
32488,32479,influential
32488,32517,influential
32489,32504,influential
32489,32512,influential
32490,32411,influential
32490,32472,influential
32491,32408,influential
32491,32467,influential
32491,32512,influential
32493,32401,influential
32493,32428,influential
32494,32421,influential
32495,32411,influential
32495,32436,influential
32495,32472,influential
32496,32428,influential
32496,32437,influential
32496,32444,influential
32496,32493,influential
32496,32553,influential
32498,32402,influential
32498,32419,influential
32498,32421,influential
32498,32435,influential
32498,32441,influential
32498,32442,influential
32498,32445,influential
32498,32558,influential
32498,32565,influential
32499,32411,influential
32502,32454,influential
32502,32456,influential
32502,32460,influential
32502,32462,influential
32503,32401,influential
32503,32428,influential
32503,32437,influential
32503,32493,influential
32503,32496,influential
32503,32520,influential
32503,32553,influential
32504,32452,influential
32504,32474,influential
32505,32554,influential
32506,32440,influential
32506,32443,influential
32506,32448,influential
32506,32459,influential
32506,32475,influential
32506,32476,influential
32506,32522,influential
32506,32523,influential
32506,32534,influential
32507,32393,influential
32507,32422,influential
32507,32484,influential
32507,32485,influential
32507,32544,influential
32507,32547,influential
32509,32460,influential
32510,32405,influential
32510,32431,influential
32510,32447,influential
32510,32454,influential
32510,32456,influential
32510,32460,influential
32510,32462,influential
32510,32508,influential
32511,32443,influential
32511,32459,influential
32511,32523,influential
32511,32534,influential
32512,32408,influential
32512,32504,influential
32513,32395,influential
32513,32411,influential
32513,32436,influential
32513,32472,influential
32513,32490,influential
32513,32495,influential
32514,32545,influential
32515,32493,influential
32517,32405,influential
32517,32406,influential
32517,32409,influential
32517,32415,influential
32517,32425,influential
32517,32469,influential
32519,32395,influential
32519,32405,influential
32519,32411,influential
32519,32436,influential
32519,32472,influential
32519,32478,influential
32519,32490,influential
32519,32495,influential
32519,32499,influential
32519,32513,influential
32519,32537,influential
32520,32401,influential
32520,32493,influential
32520,32503,influential
32522,32440,influential
32522,32443,influential
32522,32459,influential
32522,32564,influential
32528,32485,influential
32528,32544,influential
32529,32413,influential
32529,32429,influential
32529,32455,influential
32529,32457,influential
32529,32540,influential
32529,32545,influential
32530,32522,influential
32531,32473,influential
32532,32405,influential
32532,32406,influential
32533,32395,influential
32533,32436,influential
32533,32472,influential
32533,32478,influential
32533,32490,influential
32533,32513,influential
32533,32537,influential
32534,32443,influential
32534,32522,influential
32536,32402,influential
32536,32414,influential
32536,32419,influential
32536,32421,influential
32536,32435,influential
32536,32436,influential
32536,32441,influential
32536,32442,influential
32536,32445,influential
32536,32494,influential
32536,32498,influential
32536,32556,influential
32536,32558,influential
32536,32565,influential
32537,32395,influential
32537,32411,influential
32537,32436,influential
32537,32472,influential
32537,32478,influential
32537,32513,influential
32537,32519,influential
32537,32544,influential
32539,32393,influential
32539,32422,influential
32539,32439,influential
32539,32484,influential
32539,32485,influential
32540,32545,influential
32542,32540,influential
32544,32393,influential
32544,32422,influential
32544,32484,influential
32544,32485,influential
32544,32547,influential
32544,32552,influential
32545,32413,influential
32545,32429,influential
32545,32455,influential
32545,32529,influential
32545,32540,influential
32547,32393,influential
32547,32422,influential
32547,32439,influential
32547,32484,influential
32547,32485,influential
32547,32528,influential
32547,32544,influential
32547,32552,influential
32548,32429,influential
32548,32455,influential
32548,32545,influential
32550,32405,influential
32550,32406,influential
32550,32415,influential
32550,32425,influential
32550,32438,influential
32550,32469,influential
32550,32532,influential
32552,32393,influential
32552,32439,influential
32552,32484,influential
32552,32485,influential
32552,32507,influential
32552,32528,influential
32552,32544,influential
32552,32547,influential
32553,32401,influential
32555,32473,influential
32556,32402,influential
32556,32414,influential
32556,32419,influential
32556,32421,influential
32556,32442,influential
32556,32445,influential
32556,32498,influential
32556,32536,influential
32556,32558,influential
32556,32565,influential
32558,32421,influential
32559,32443,influential
32559,32535,influential
32559,32544,influential
32560,32401,influential
32560,32493,influential
32560,32503,influential
32561,32428,influential
32561,32437,influential
32561,32444,influential
32561,32493,influential
32561,32560,influential
32563,32393,influential
32563,32439,influential
32563,32484,influential
32563,32485,influential
32563,32544,influential
32563,32547,influential
32564,32440,influential
32564,32443,influential
32564,32522,influential
32565,32421,influential
32393,32422,disrespect
32423,32421,disrespect
32427,32393,disrespect
32427,32544,disrespect
32427,32547,disrespect
32439,32544,disrespect
32470,32415,disrespect
32480,32471,disrespect
32481,32393,disrespect
32481,32422,disrespect
32481,32544,disrespect
32481,32547,disrespect
32506,32459,disrespect
32507,32422,disrespect
32507,32544,disrespect
32511,32459,disrespect
32517,32469,disrespect
32529,32455,disrespect
32399,32483,feedback
32413,32429,feedback
32422,32481,feedback
32503,32450,feedback
32522,32440,feedback
32522,32446,feedback
32522,32530,feedback
32536,32402,feedback
